File;Matcher;Precision;Recall;F1;NUI;PME;HSR;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;SimilarityFloodingResult;1;0,006944444;0,013793103;69;0,479166667;0,520833333;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;SimilarityFloodingAdjusted;0;0;0;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_av_,csv;SmatResult;1;1;1;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;ComaInstResult;1;0,5;0,666666667;56,09090909;0,389520202;0,610479798;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;ComaInstAdjusted;1;1;1;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;ComaOptResult;1;0,5;0,666666667;56,09090909;0,389520202;0,610479798;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;ComaOptAdjusted;1;1;1;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;CupidResult;1;1;1;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;CupidAdjusted;1;0,006944444;0,013793103;69;0,479166667;0,520833333;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;DistributionBasedResult;0;0;0;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;DistributionBasedAdjusted;0;0;0;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;JaccardLevenMatcherResult;1;0,1;0,181818182;56,81818182;0,394570707;0,605429293;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;JaccardLevenMatcherAdjusted;0;0;0;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;SimilarityFloodingResult;1;0,006944444;0,013793103;69;0,479166667;0,520833333;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;SimilarityFloodingAdjusted;0;0;0;144;1;0;;;;;;;;;;;;;;;;;;
assays_both_0_1_ec_ev_,csv;SmatResult;1;1;1;56;0,388888889;0,611111111;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;ComaInstResult;0,833333333;0,833333333;0,833333333;81,11111111;0,386243386;0,613756614;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;ComaInstAdjusted;0,5;1;0,666666667;108;0,514285714;0,485714286;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;ComaOptResult;0,833333333;1;0,909090909;81;0,385714286;0,614285714;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;ComaOptAdjusted;0,833333333;1;0,909090909;81;0,385714286;0,614285714;;;;;;;;;;;;;;;;;;
assays_both_0_30_ac1_av_,csv;CupidResult;0,833333333;0,25;0,384615385;82,66666667;0,393650794;0,606349206;;;;;;;;;;;;;;;;;;
